date,patient,nosymptom,district
20220423,541,5,浦东新区
20220423,96,3,黄浦区
20220423,40,1,静安区
20220423,91,1,徐汇区
20220423,69,8,长宁区
20220423,39,9,普陀区
20220423,82,7,虹口区
20220423,135,1,宝山区
20220423,108,9,闵行区
20220423,73,8,嘉定区
20220423,26,8,青浦区
20220424,874,7,浦东新区
20220424,317,8,黄浦区
20220424,142,0,静安区
20220424,228,8,徐汇区
20220424,76,3,长宁区
20220424,43,4,普陀区
20220424,106,9,虹口区
20220424,75,0,杨浦区
20220424,135,1,宝山区
20220424,143,6,闵行区
20220424,132,9,嘉定区
20220424,166,2,松江区
20220424,8,3,青浦区
20220424,27,8,崇明区
20220412,192,7,浦东新区
20220412,74,0,黄浦区
20220412,75,1,静安区
20220412,56,2,徐汇区
20220412,90,3,长宁区
20220412,50,0,普陀区
20220412,83,8,虹口区
20220412,60,9,杨浦区
20220412,16,9,宝山区
20220412,280,5,闵行区
20220412,42,4,嘉定区
20220412,3,6,金山区
20220412,77,5,松江区
20220412,61,3,青浦区
20220412,1,2,奉贤区
20220412,29,7,崇明区
20220415,1142,0,浦东新区
20220415,246,8,黄浦区
20220415,92,1,静安区
20220415,277,2,徐汇区
20220415,233,9,长宁区
20220415,66,0,普陀区
20220415,287,0,虹口区
20220415,275,6,杨浦区
20220415,74,9,宝山区
20220415,301,6,闵行区
20220415,173,8,嘉定区
20220415,21,0,金山区
20220415,198,5,松江区
20220415,131,5,青浦区
20220415,23,3,奉贤区
20220415,51,1,崇明区
20220414,1252,4,浦东新区
20220414,268,5,黄浦区
20220414,70,6,静安区
20220414,293,9,徐汇区
20220414,148,0,长宁区
20220414,45,9,普陀区
20220414,174,6,虹口区
20220414,50,7,宝山区
20220414,274,4,闵行区
20220414,200,3,嘉定区
20220414,23,5,金山区
20220414,128,6,青浦区
20220413,1139,8,浦东新区
20220413,227,1,黄浦区
20220413,49,1,静安区
20220413,143,9,徐汇区
20220413,105,2,长宁区
20220413,45,0,普陀区
20220413,121,7,虹口区
20220413,13,8,宝山区
20220413,372,7,闵行区
20220413,54,7,嘉定区
20220413,12,2,金山区
20220413,99,0,青浦区
20220425,292,0,浦东新区
20220425,156,5,黄浦区
20220425,131,5,静安区
20220425,209,2,徐汇区
20220425,97,7,长宁区
20220425,47,1,普陀区
20220425,138,2,虹口区
20220425,216,0,宝山区
20220425,61,6,闵行区
20220425,58,5,嘉定区
20220425,108,3,松江区
20220425,44,5,青浦区
20220422,704,7,浦东新区
20220422,435,8,黄浦区
20220422,76,0,静安区
20220422,123,2,徐汇区
20220422,164,9,长宁区
20220422,71,2,普陀区
20220422,428,9,虹口区
20220422,179,4,宝山区
20220422,208,7,闵行区
20220422,76,4,嘉定区
20220422,44,5,青浦区
20220330,249,8,浦东新区
20220330,16,5,黄浦区
20220330,8,4,静安区
20220330,15,9,徐汇区
20220330,8,0,长宁区
20220330,6,0,普陀区
20220330,1,3,虹口区
20220330,3,7,杨浦区
20220330,1,3,宝山区
20220330,19,1,闵行区
20220330,9,9,嘉定区
20220330,5,2,青浦区
20220330,7,3,奉贤区
20220331,180,7,浦东新区
20220331,7,4,黄浦区
20220331,4,0,静安区
20220331,20,6,徐汇区
20220331,43,3,长宁区
20220331,6,9,普陀区
20220331,8,0,虹口区
20220331,5,9,杨浦区
20220331,4,3,宝山区
20220331,59,3,闵行区
20220331,7,7,嘉定区
20220331,3,9,金山区
20220331,1,4,青浦区
20220325,31,3,浦东新区
20220325,1,2,徐汇区
20220325,1,8,普陀区
20220325,4,2,闵行区
20220325,1,4,松江区
20220322,2,5,徐汇区
20220323,2,4,闵行区
20220323,1,8,嘉定区
20220324,12,1,浦东新区
20220324,8,2,静安区
20220324,2,5,徐汇区
20220324,2,6,普陀区
20220324,1,0,杨浦区
20220324,3,4,宝山区
20220324,1,9,嘉定区
20220407,307,3,浦东新区
20220407,14,6,黄浦区
20220407,22,9,静安区
20220407,43,3,徐汇区
20220407,29,3,长宁区
20220407,11,6,普陀区
20220407,26,8,虹口区
20220407,9,5,宝山区
20220407,95,2,闵行区
20220407,23,0,嘉定区
20220407,72,7,金山区
20220407,4,9,青浦区
20220409,517,3,浦东新区
20220409,101,7,黄浦区
20220409,25,7,静安区
20220409,44,6,徐汇区
20220409,26,1,长宁区
20220409,24,9,普陀区
20220409,12,7,虹口区
20220409,32,8,杨浦区
20220409,36,5,宝山区
20220409,88,6,闵行区
20220409,21,8,嘉定区
20220409,44,4,金山区
20220409,10,0,松江区
20220409,9,8,青浦区
20220409,13,1,奉贤区
20220409,4,7,崇明区
20220408,348,8,浦东新区
20220408,41,6,黄浦区
20220408,42,3,静安区
20220408,114,5,徐汇区
20220408,20,4,长宁区
20220408,21,3,普陀区
20220408,18,0,虹口区
20220408,29,2,宝山区
20220408,62,2,闵行区
20220408,116,9,嘉定区
20220408,45,5,金山区
20220408,24,8,青浦区
20220406,151,6,浦东新区
20220406,9,5,黄浦区
20220406,27,8,静安区
20220406,19,8,徐汇区
20220406,31,9,长宁区
20220406,27,6,普陀区
20220406,1,7,虹口区
20220406,12,8,杨浦区
20220406,9,1,宝山区
20220406,21,8,闵行区
20220406,6,2,嘉定区
20220406,3,6,金山区
20220406,2,9,松江区
20220406,4,6,青浦区
20220401,79,5,浦东新区
20220401,5,5,黄浦区
20220401,11,8,静安区
20220401,37,2,徐汇区
20220401,13,2,普陀区
20220401,3,8,虹口区
20220401,11,3,杨浦区
20220401,10,5,宝山区
20220401,57,6,闵行区
20220401,3,6,金山区
20220401,79,5,浦东新区
20220401,5,5,黄浦区
20220401,11,8,静安区
20220401,37,2,徐汇区
20220401,13,2,普陀区
20220401,3,8,虹口区
20220401,11,3,杨浦区
20220401,10,5,宝山区
20220401,57,6,闵行区
20220401,3,6,金山区
20220418,1075,6,浦东新区
20220418,362,1,黄浦区
20220418,203,7,静安区
20220418,68,4,徐汇区
20220418,193,7,长宁区
20220418,21,0,普陀区
20220418,233,9,虹口区
20220418,64,7,杨浦区
20220418,203,7,宝山区
20220418,312,0,闵行区
20220418,72,6,嘉定区
20220418,3,4,金山区
20220418,77,0,青浦区
20220418,2,2,奉贤区
20220418,5,1,崇明区
20220420,756,9,浦东新区
20220420,252,5,黄浦区
20220420,164,6,静安区
20220420,191,6,徐汇区
20220420,123,3,长宁区
20220420,49,6,普陀区
20220420,102,0,虹口区
20220420,107,6,宝山区
20220420,291,5,闵行区
20220420,82,7,嘉定区
20220420,16,1,金山区
20220420,165,1,松江区
20220420,120,0,青浦区
20220416,1002,9,浦东新区
20220416,188,7,黄浦区
20220416,143,1,静安区
20220416,170,2,徐汇区
20220416,127,9,长宁区
20220416,145,6,普陀区
20220416,157,0,虹口区
20220416,51,2,宝山区
20220416,890,0,闵行区
20220416,103,2,嘉定区
20220416,9,2,金山区
20220416,46,9,青浦区
20220411,493,3,浦东新区
20220411,117,6,黄浦区
20220411,20,2,静安区
20220411,48,3,徐汇区
20220411,25,8,长宁区
20220411,37,1,普陀区
20220411,25,0,虹口区
20220411,47,7,宝山区
20220411,68,9,闵行区
20220411,43,5,嘉定区
20220411,3,5,金山区
20220411,7,4,青浦区
20220410,212,0,浦东新区
20220410,36,5,黄浦区
20220410,29,4,静安区
20220410,46,7,徐汇区
20220410,5,2,长宁区
20220410,7,4,普陀区
20220410,6,2,虹口区
20220410,21,8,宝山区
20220410,102,7,闵行区
20220410,71,4,嘉定区
20220410,15,2,金山区
20220410,1,6,青浦区
20220417,521,9,浦东新区
20220417,186,0,黄浦区
20220417,127,5,静安区
20220417,167,6,徐汇区
20220417,62,7,长宁区
20220417,330,5,普陀区
20220417,266,0,虹口区
20220417,85,5,宝山区
20220417,106,6,闵行区
20220417,356,2,嘉定区
20220417,5,9,金山区
20220417,17,2,青浦区
20220421,409,6,浦东新区
20220421,192,0,黄浦区
20220421,150,4,静安区
20220421,347,9,徐汇区
20220421,85,1,长宁区
20220421,94,5,普陀区
20220421,103,2,虹口区
20220421,54,9,杨浦区
20220421,136,2,宝山区
20220421,153,0,闵行区
20220421,80,6,嘉定区
20220421,8,2,金山区
20220421,22,1,松江区
20220421,60,5,青浦区
20220421,14,0,奉贤区
20220421,24,6,崇明区
20220426,206,9,浦东新区
20220426,301,7,黄浦区
20220426,145,9,静安区
20220426,173,1,徐汇区
20220426,64,5,长宁区
20220426,104,1,普陀区
20220426,37,9,虹口区
20220426,295,1,宝山区
20220426,71,8,闵行区
20220426,89,5,嘉定区
20220426,2,6,金山区
20220426,29,8,松江区
20220426,27,4,青浦区
20220321,6,3,浦东新区
20220321,4,6,徐汇区
20220321,1,0,普陀区
20220321,10,2,闵行区
20220321,1,5,金山区
20220321,2,8,崇明区
20220326,1,2,浦东新区
20220326,3,5,静安区
20220326,5,6,徐汇区
20220326,2,7,长宁区
20220326,1,8,普陀区
20220326,1,9,虹口区
20220326,6,7,宝山区
20220326,15,7,闵行区
20220319,8,7,浦东新区
20220319,1,6,虹口区
20220319,1,6,宝山区
20220319,4,9,闵行区
20220319,2,9,嘉定区
20220328,39,7,浦东新区
20220328,1,2,黄浦区
20220328,10,4,静安区
20220328,6,5,徐汇区
20220328,7,8,长宁区
20220328,3,8,普陀区
20220328,4,4,虹口区
20220328,8,3,宝山区
20220328,9,1,闵行区
20220328,1,8,金山区
20220328,2,5,青浦区
20220329,169,4,浦东新区
20220329,6,4,黄浦区
20220329,8,7,静安区
20220329,34,6,徐汇区
20220329,3,7,长宁区
20220329,6,7,普陀区
20220329,7,6,虹口区
20220329,33,0,宝山区
20220329,29,8,闵行区
20220329,9,6,嘉定区
20220329,2,4,金山区
20220327,4,5,浦东新区
20220327,1,5,黄浦区
20220327,5,5,静安区
20220327,6,1,徐汇区
20220327,4,6,普陀区
20220327,1,6,虹口区
20220327,5,9,宝山区
20220327,20,9,闵行区
20220327,1,9,松江区
20220320,1,9,浦东新区
20220320,2,0,黄浦区
20220320,1,5,徐汇区
20220320,1,2,长宁区
20220320,18,7,闵行区
20220404,205,6,浦东新区
20220404,8,2,黄浦区
20220404,1,9,静安区
20220404,8,1,徐汇区
20220404,1,2,长宁区
20220404,4,0,普陀区
20220404,5,3,虹口区
20220404,1,4,宝山区
20220404,11,0,闵行区
20220404,4,3,嘉定区
20220404,1,1,金山区
20220404,1,3,青浦区
20220403,140,4,浦东新区
20220403,14,0,黄浦区
20220403,29,9,静安区
20220403,34,5,徐汇区
20220403,14,0,长宁区
20220403,21,0,普陀区
20220403,11,7,虹口区
20220403,30,4,杨浦区
20220403,32,5,宝山区
20220403,68,2,闵行区
20220403,14,1,嘉定区
20220403,4,9,金山区
20220403,3,9,青浦区
20220403,4,5,奉贤区
20220403,1,4,崇明区
20220405,162,3,浦东新区
20220405,16,2,黄浦区
20220405,12,0,静安区
20220405,23,7,徐汇区
20220405,6,8,长宁区
20220405,7,6,普陀区
20220405,8,2,虹口区
20220405,11,2,杨浦区
20220405,7,7,宝山区
20220405,23,4,闵行区
20220405,11,0,嘉定区
20220405,1,6,金山区
20220405,14,2,松江区
20220405,6,8,青浦区
20220405,2,2,奉贤区
20220405,2,7,崇明区
