date,district,in_hospital
20220319,浦东,44
20220319,黄浦,18
20220319,徐汇,31
20220319,静安,15
20220319,普陀,8
20220319,虹口,5
20220319,杨浦,1
20220319,闵行,18
20220319,宝山,5
20220319,嘉定,20
20220319,金山,3
20220319,松江,3
20220319,青浦,2
20220319,奉贤,1
20220319,崇明,1
20220320,浦东,45
20220320,黄浦,20
20220320,徐汇,31
20220320,长宁,1
20220320,静安,15
20220320,普陀,8
20220320,虹口,5
20220320,杨浦,1
20220320,闵行,36
20220320,宝山,5
20220320,嘉定,21
20220320,金山,3
20220320,松江,3
20220320,青浦,2
20220320,奉贤,1
20220320,崇明,1
20220321,浦东,50
20220321,黄浦,20
20220321,徐汇,35
20220321,长宁,1
20220321,静安,13
20220321,普陀,8
20220321,虹口,4
20220321,杨浦,1
20220321,闵行,43
20220321,宝山,5
20220321,嘉定,26
20220321,金山,4
20220321,松江,4
20220321,青浦,2
20220321,奉贤,2
20220321,崇明,3
20220322,浦东,48
20220322,黄浦,20
20220322,徐汇,36
20220322,长宁,1
20220322,静安,13
20220322,普陀,7
20220322,虹口,4
20220322,杨浦,1
20220322,闵行,42
20220322,宝山,5
20220322,嘉定,27
20220322,金山,4
20220322,松江,4
20220322,青浦,2
20220322,奉贤,2
20220322,崇明,3
20220323,浦东,45
20220323,黄浦,18
20220323,徐汇,29
20220323,长宁,1
20220323,静安,11
20220323,普陀,6
20220323,虹口,4
20220323,杨浦,1
20220323,闵行,38
20220323,宝山,4
20220323,嘉定,26
20220323,金山,2
20220323,松江,4
20220323,青浦,1
20220323,奉贤,3
20220323,崇明,3
20220324,浦东,56
20220324,黄浦,13
20220324,徐汇,27
20220324,长宁,1
20220324,静安,17
20220324,普陀,8
20220324,虹口,3
20220324,杨浦,2
20220324,闵行,30
20220324,宝山,7
20220324,嘉定,24
20220324,金山,2
20220324,松江,2
20220324,青浦,1
20220324,奉贤,3
20220324,崇明,3
20220325,浦东,86
20220325,黄浦,13
20220325,徐汇,22
20220325,长宁,1
20220325,静安,16
20220325,普陀,8
20220325,虹口,3
20220325,杨浦,2
20220325,闵行,33
20220325,宝山,6
20220325,嘉定,23
20220325,金山,2
20220325,松江,3
20220325,青浦,1
20220325,奉贤,2
20220325,崇明,3
20220326,浦东,84
20220326,黄浦,13
20220326,徐汇,23
20220326,长宁,3
20220326,静安,18
20220326,普陀,8
20220326,虹口,4
20220326,杨浦,4
20220326,闵行,44
20220326,宝山,12
20220326,嘉定,30
20220326,金山,2
20220326,松江,2
20220326,青浦,1
20220326,奉贤,2
20220326,崇明,2
20220327,浦东,84
20220327,黄浦,14
20220327,徐汇,28
20220327,长宁,3
20220327,静安,21
20220327,普陀,11
20220327,虹口,5
20220327,杨浦,4
20220327,闵行,56
20220327,宝山,17
20220327,嘉定,32
20220327,金山,2
20220327,松江,2
20220327,青浦,1
20220327,奉贤,2
20220327,崇明,2
20220329,浦东,286
20220329,黄浦,18
20220329,徐汇,64
20220329,长宁,13
20220329,静安,37
20220329,普陀,20
20220329,虹口,14
20220329,杨浦,6
20220329,闵行,77
20220329,宝山,57
20220329,嘉定,35
20220329,金山,4
20220329,松江,21
20220329,青浦,2
20220329,奉贤,2
20220329,崇明,3
20220330,浦东,529
20220330,黄浦,30
20220330,徐汇,75
20220330,长宁,21
20220330,静安,45
20220330,普陀,26
20220330,虹口,15
20220330,杨浦,9
20220330,闵行,94
20220330,宝山,56
20220330,嘉定,43
20220330,金山,4
20220330,松江,28
20220330,青浦,7
20220330,奉贤,9
20220330,崇明,3
20220331,浦东,707
20220331,黄浦,37
20220331,徐汇,93
20220331,长宁,64
20220331,静安,49
20220331,普陀,31
20220331,虹口,23
20220331,杨浦,14
20220331,闵行,149
20220331,宝山,60
20220331,嘉定,48
20220331,金山,6
20220331,松江,33
20220331,青浦,8
20220331,奉贤,14
20220331,崇明,4
20220401,浦东,778
20220401,黄浦,41
20220401,徐汇,129
20220401,长宁,62
20220401,静安,59
20220401,普陀,43
20220401,虹口,25
20220401,杨浦,25
20220401,闵行,199
20220401,宝山,69
20220401,嘉定,57
20220401,金山,9
20220401,松江,52
20220401,青浦,8
20220401,奉贤,16
20220401,崇明,5
20220402,浦东,881
20220402,黄浦,67
20220402,徐汇,171
20220402,长宁,69
20220402,静安,82
20220402,普陀,82
20220402,虹口,54
20220402,杨浦,44
20220402,闵行,249
20220402,宝山,104
20220402,嘉定,82
20220402,金山,9
20220402,松江,58
20220402,青浦,11
20220402,奉贤,24
20220402,崇明,6
20220403,浦东,1017
20220403,黄浦,80
20220403,徐汇,204
20220403,长宁,82
20220403,静安,109
20220403,普陀,103
20220403,虹口,65
20220403,杨浦,74
20220403,闵行,305
20220403,宝山,136
20220403,嘉定,94
20220403,金山,13
20220403,松江,64
20220403,青浦,14
20220403,奉贤,27
20220403,崇明,7
20220404,浦东,1218
20220404,黄浦,86
20220404,徐汇,211
20220404,长宁,83
20220404,静安,108
20220404,普陀,102
20220404,虹口,70
20220404,杨浦,84
20220404,闵行,313
20220404,宝山,137
20220404,嘉定,95
20220404,金山,14
20220404,松江,69
20220404,青浦,15
20220404,奉贤,29
20220404,崇明,7
20220405,浦东,1376
20220405,黄浦,102
20220405,徐汇,228
20220405,长宁,89
20220405,静安,119
20220405,普陀,108
20220405,虹口,77
20220405,杨浦,93
20220405,闵行,326
20220405,宝山,143
20220405,嘉定,103
20220405,金山,15
20220405,松江,83
20220405,青浦,21
20220405,奉贤,30
20220405,崇明,9
20220406,浦东,1517
20220406,黄浦,110
20220406,徐汇,246
20220406,长宁,118
20220406,静安,141
20220406,普陀,134
20220406,虹口,77
20220406,杨浦,104
20220406,闵行,345
20220406,宝山,148
20220406,嘉定,106
20220406,金山,18
20220406,松江,84
20220406,青浦,25
20220406,奉贤,30
20220406,崇明,9
20220407,浦东,1807
20220407,黄浦,124
20220407,徐汇,283
20220407,长宁,145
20220407,静安,159
20220407,普陀,143
20220407,虹口,103
20220407,杨浦,133
20220407,闵行,436
20220407,宝山,151
20220407,嘉定,125
20220407,金山,90
20220407,松江,190
20220407,青浦,29
20220407,奉贤,60
20220407,崇明,11
20220408,浦东,2134
20220408,黄浦,161
20220408,徐汇,386
20220408,长宁,160
20220408,静安,192
20220408,普陀,157
20220408,虹口,117
20220408,杨浦,142
20220408,闵行,481
20220408,宝山,170
20220408,嘉定,235
20220408,金山,129
20220408,松江,292
20220408,青浦,52
20220408,奉贤,72
20220408,崇明,14
20220409,浦东,2596
20220409,黄浦,257
20220409,徐汇,407
20220409,长宁,178
20220409,静安,211
20220409,普陀,175
20220409,虹口,118
20220409,杨浦,173
20220409,闵行,542
20220409,宝山,195
20220409,嘉定,234
20220409,金山,151
20220409,松江,289
20220409,青浦,58
20220409,奉贤,81
20220409,崇明,18
20220410,浦东,2704
20220410,黄浦,285
20220410,徐汇,431
20220410,长宁,171
20220410,静安,227
20220410,普陀,175
20220410,虹口,118
20220410,杨浦,223
20220410,闵行,606
20220410,宝山,207
20220410,嘉定,281
20220410,金山,149
20220410,松江,573
20220410,青浦,51
20220410,奉贤,87
20220410,崇明,18
20220411,浦东,3112
20220411,黄浦,382
20220411,徐汇,445
20220411,长宁,170
20220411,静安,236
20220411,普陀,205
20220411,虹口,132
20220411,杨浦,238
20220411,闵行,622
20220411,宝山,240
20220411,嘉定,296
20220411,金山,107
20220411,松江,582
20220411,青浦,53
20220411,奉贤,77
20220411,崇明,24
20220412,浦东,3229
20220412,黄浦,455
20220412,徐汇,499
20220412,长宁,260
20220412,静安,311
20220412,普陀,254
20220412,虹口,215
20220412,杨浦,297
20220412,闵行,859
20220412,宝山,210
20220412,嘉定,273
20220412,金山,11
20220412,松江,658
20220412,青浦,114
20220412,奉贤,78
20220412,崇明,53
20220413,浦东,3838
20220413,黄浦,681
20220413,徐汇,641
20220413,长宁,348
20220413,静安,359
20220413,普陀,299
20220413,虹口,336
20220413,杨浦,350
20220413,闵行,1158
20220413,宝山,188
20220413,嘉定,255
20220413,金山,18
20220413,松江,789
20220413,青浦,213
20220413,奉贤,80
20220413,崇明,59
20220414,浦东,5090
20220414,黄浦,947
20220414,徐汇,948
20220414,长宁,490
20220414,静安,423
20220414,普陀,335
20220414,虹口,510
20220414,杨浦,398
20220414,闵行,1430
20220414,宝山,208
20220414,嘉定,378
20220414,金山,39
20220414,松江,967
20220414,青浦,337
20220414,奉贤,97
20220414,崇明,87
20220415,浦东,5458
20220415,黄浦,1191
20220415,徐汇,1215
20220415,长宁,711
20220415,静安,511
20220415,普陀,394
20220415,虹口,794
20220415,杨浦,671
20220415,闵行,1690
20220415,宝山,259
20220415,嘉定,501
20220415,金山,56
20220415,松江,1133
20220415,青浦,467
20220415,奉贤,119
20220415,崇明,135
20220416,浦东,6256
20220416,黄浦,1372
20220416,徐汇,1375
20220416,长宁,822
20220416,静安,646
20220416,普陀,536
20220416,虹口,950
20220416,杨浦,753
20220416,闵行,2562
20220416,宝山,285
20220416,嘉定,562
20220416,金山,55
20220416,松江,1200
20220416,青浦,508
20220416,奉贤,141
20220416,崇明,147
20220417,浦东,6269
20220417,黄浦,1531
20220417,徐汇,1519
20220417,长宁,866
20220417,静安,769
20220417,普陀,858
20220417,虹口,1213
20220417,杨浦,770
20220417,闵行,2651
20220417,宝山,356
20220417,嘉定,859
20220417,金山,53
20220417,松江,1323
20220417,青浦,517
20220417,奉贤,141
20220417,崇明,156
20220418,浦东,6707
20220418,黄浦,1745
20220418,徐汇,1515
20220418,长宁,1033
20220418,静安,953
20220418,普陀,875
20220418,虹口,1412
20220418,杨浦,801
20220418,闵行,2908
20220418,宝山,525
20220418,嘉定,885
20220418,金山,44
20220418,松江,1446
20220418,青浦,574
20220418,奉贤,135
20220418,崇明,159
20220419,浦东,6344
20220419,黄浦,2062
20220419,徐汇,1588
20220419,长宁,1028
20220419,静安,1144
20220419,普陀,943
20220419,虹口,1503
20220419,杨浦,844
20220419,闵行,3203
20220419,宝山,532
20220419,嘉定,901
20220419,金山,36
20220419,松江,1454
20220419,青浦,625
20220419,奉贤,135
20220419,崇明,180
20220420,浦东,6506
20220420,黄浦,2263
20220420,徐汇,1734
20220420,长宁,1125
20220420,静安,1276
20220420,普陀,956
20220420,虹口,1556
20220420,杨浦,1036
20220420,闵行,3432
20220420,宝山,607
20220420,嘉定,885
20220420,金山,37
20220420,松江,1505
20220420,青浦,729
20220420,奉贤,140
20220420,崇明,186
20220421,浦东,6108
20220421,黄浦,2345
20220421,徐汇,2002
20220421,长宁,1157
20220421,静安,1387
20220421,普陀,993
20220421,虹口,1556
20220421,杨浦,1075
20220421,闵行,3344
20220421,宝山,719
20220421,嘉定,893
20220421,金山,40
20220421,松江,1420
20220421,青浦,768
20220421,奉贤,144
20220421,崇明,210
20220422,浦东,5867
20220422,黄浦,2684
20220422,徐汇,2042
20220422,长宁,1271
20220422,静安,1439
20220422,普陀,994
20220422,虹口,1912
20220422,杨浦,1149
20220422,闵行,3418
20220422,宝山,845
20220422,嘉定,872
20220422,金山,33
20220422,松江,1337
20220422,青浦,778
20220422,奉贤,147
20220422,崇明,222
20220423,浦东,5542
20220423,黄浦,2433
20220423,徐汇,2116
20220423,长宁,1203
20220423,静安,1397
20220423,普陀,993
20220423,虹口,1843
20220423,杨浦,1172
20220423,闵行,3260
20220423,宝山,934
20220423,嘉定,850
20220423,金山,28
20220423,松江,1199
20220423,青浦,773
20220423,奉贤,140
20220423,崇明,247
20220424,浦东,5751
20220424,黄浦,2503
20220424,徐汇,2128
20220424,长宁,1187
20220424,静安,1382
20220424,普陀,926
20220424,虹口,1800
20220424,杨浦,1199
20220424,闵行,3078
20220424,宝山,979
20220424,嘉定,864
20220424,金山,15
20220424,松江,1138
20220424,青浦,757
20220424,奉贤,123
20220424,崇明,272
20220425,浦东,5383
20220425,黄浦,2380
20220425,徐汇,2213
20220425,长宁,1180
20220425,静安,1459
20220425,普陀,954
20220425,虹口,1857
20220425,杨浦,1220
20220425,闵行,2902
20220425,宝山,1150
20220425,嘉定,823
20220425,金山,13
20220425,松江,1024
20220425,青浦,789
20220425,奉贤,118
20220425,崇明,305
20220426,浦东,4282
20220426,黄浦,2472
20220426,徐汇,2220
20220426,长宁,1166
20220426,静安,1546
20220426,普陀,1009
20220426,虹口,1803
20220426,杨浦,1224
20220426,闵行,2724
20220426,宝山,1390
20220426,嘉定,740
20220426,金山,12
20220426,松江,919
20220426,青浦,758
20220426,奉贤,111
20220426,崇明,313
20220428,浦东,4931
20220428,黄浦,3436
20220428,徐汇,2716
20220428,长宁,1286
20220428,静安,1738
20220428,普陀,921
20220428,虹口,2112
20220428,杨浦,1249
20220428,闵行,2317
20220428,宝山,1537
20220428,嘉定,499
20220428,金山,17
20220428,松江,622
20220428,青浦,763
20220428,奉贤,104
20220428,崇明,331
20220429,浦东,4154
20220429,黄浦,3310
20220429,徐汇,2833
20220429,长宁,1222
20220429,静安,1705
20220429,普陀,891
20220429,虹口,1977
20220429,杨浦,1106
20220429,闵行,2272
20220429,宝山,1478
20220429,嘉定,470
20220429,金山,10
20220429,松江,357
20220429,青浦,774
20220429,奉贤,97
20220429,崇明,318
20220430,浦东,3490
20220430,黄浦,3043
20220430,徐汇,2641
20220430,长宁,1132
20220430,静安,1735
20220430,普陀,800
20220430,虹口,1906
20220430,杨浦,1087
20220430,闵行,1977
20220430,宝山,1367
20220430,嘉定,370
20220430,金山,7
20220430,松江,115
20220430,青浦,599
20220430,奉贤,95
20220430,崇明,305
20220501,浦东,2827
20220501,黄浦,2659
20220501,徐汇,2315
20220501,长宁,932
20220501,静安,1450
20220501,普陀,717
20220501,虹口,1582
20220501,杨浦,980
20220501,闵行,1504
20220501,宝山,1103
20220501,嘉定,240
20220501,金山,5
20220501,松江,48
20220501,青浦,413
20220501,奉贤,94
20220501,崇明,253
20220502,浦东,2093
20220502,黄浦,2107
20220502,徐汇,1938
20220502,长宁,797
20220502,静安,1182
20220502,普陀,592
20220502,虹口,1136
20220502,杨浦,893
20220502,闵行,1082
20220502,宝山,850
20220502,嘉定,60
20220502,金山,4
20220502,松江,75
20220502,青浦,296
20220502,奉贤,86
20220502,崇明,204
20220503,浦东,1636
20220503,黄浦,1824
20220503,徐汇,1745
20220503,长宁,705
20220503,静安,1081
20220503,普陀,538
20220503,虹口,1029
20220503,杨浦,876
20220503,闵行,988
20220503,宝山,719
20220503,嘉定,53
20220503,金山,3
20220503,松江,99
20220503,青浦,192
20220503,奉贤,86
20220503,崇明,196
20220504,浦东,1377
20220504,黄浦,1603
20220504,徐汇,1548
20220504,长宁,626
20220504,静安,980
20220504,普陀,497
20220504,虹口,948
20220504,杨浦,842
20220504,闵行,776
20220504,宝山,597
20220504,嘉定,4
20220504,金山,4
20220504,松江,96
20220504,青浦,111
20220504,奉贤,83
20220504,崇明,187
20220505,浦东,1145
20220505,黄浦,1402
20220505,徐汇,1370
20220505,长宁,563
20220505,静安,924
20220505,普陀,463
20220505,虹口,899
20220505,杨浦,827
20220505,闵行,669
20220505,宝山,500
20220505,嘉定,8
20220505,金山,5
20220505,松江,44
20220505,青浦,47
20220505,奉贤,81
20220505,崇明,175
20220506,浦东,978
20220506,黄浦,1101
20220506,徐汇,1027
20220506,长宁,511
20220506,静安,787
20220506,普陀,456
20220506,虹口,789
20220506,杨浦,723
20220506,闵行,587
20220506,宝山,425
20220506,嘉定,10
20220506,金山,7
20220506,松江,20
20220506,青浦,40
20220506,奉贤,79
20220506,崇明,159
20220507,浦东,892
20220507,黄浦,992
20220507,徐汇,869
20220507,长宁,458
20220507,静安,749
20220507,普陀,446
20220507,虹口,735
20220507,杨浦,621
20220507,闵行,559
20220507,宝山,366
20220507,嘉定,15
20220507,金山,4
20220507,松江,5
20220507,青浦,31
20220507,奉贤,77
20220507,崇明,146
